"","LN.5years.","Code","Values"
"525","2015","X000025","-4.132782843"
"526","1995","X000026",NA
"527","1996","X000026",NA
"528","1997","X000026",NA
"529","1998","X000026",NA
"530","1999","X000026",NA
"531","2000","X000026","-2.883983465"
"532","2001","X000026","-2.828396556"
"533","2002","X000026","-2.89010354"
"534","2003","X000026","-2.236547512"
"535","2004","X000026","-2.368821222"
"536","2005","X000026","-2.453136078"
"537","2006","X000026","-2.45925764"
"538","2007","X000026","-2.439580748"
"539","2008","X000026","-3.542359365"
"540","2009","X000026","-3.676815371"
"541","2010","X000026","-4.181922177"
"542","2011","X000026","-4.617007648"
"543","2012","X000026","-4.639561968"
"544","2013","X000026","-4.61595137"
"545","2014","X000026","-4.488637598"
"546","2015","X000026","-4.466060441"
"547","1995","X000027",NA
"548","1996","X000027",NA
"549","1997","X000027",NA
"550","1998","X000027",NA
"551","1999","X000027",NA
"552","2000","X000027","-3.797598776"
"553","2001","X000027","-3.710128922"
"554","2002","X000027","-3.645913007"
"555","2003","X000027","-3.553407354"
"556","2004","X000027","-2.851897496"
"557","2005","X000027","-2.939559196"
"558","2006","X000027","-3.187864717"
"559","2007","X000027","-3.476054365"
"560","2008","X000027","-3.12944988"
"561","2009","X000027","-2.574794157"
"562","2010","X000027","-2.603065925"
"563","2011","X000027","-2.723747349"
"564","2012","X000027","-3.289782063"
"565","2013","X000027","-3.619101708"
"566","2014","X000027","-3.888220792"
"567","2015","X000027","-4.306740139"
"568","1995","X000028",NA
"569","1996","X000028",NA
"570","1997","X000028",NA
"571","1998","X000028",NA
"572","1999","X000028",NA
"573","2000","X000028","-2.709146357"
"574","2001","X000028","-2.678452797"
"575","2002","X000028","-2.952832903"
"576","2003","X000028","-3.305966042"
"577","2004","X000028","-3.318410247"
"578","2005","X000028","-3.608266777"
"579","2006","X000028","-3.860562615"
"580","2007","X000028","-3.76415479"
"581","2008","X000028","-3.829624568"
"582","2009","X000028","-4.29126154"
"583","2010","X000028","-4.731377968"
"584","2011","X000028","-4.781822443"
"585","2012","X000028","-5.579405685"
"586","2013","X000028","-5.162194351"
"587","2014","X000028","-5.132005142"
"588","2015","X000028","-5.321066108"
"589","1995","X000029",NA
"590","1996","X000029",NA
"591","1997","X000029",NA
"592","1998","X000029",NA
"593","1999","X000029",NA
"594","2000","X000029","-2.096570022"
"595","2001","X000029","-2.189120014"
"596","2002","X000029","-2.10456352"
"597","2003","X000029","-2.135218425"
"598","2004","X000029","-2.568723916"
"599","2005","X000029","-2.606721492"
"600","2006","X000029","-2.63555218"
"601","2007","X000029","-3.458838322"
"602","2008","X000029","-3.373628692"
"603","2009","X000029","-3.340264136"
"604","2010","X000029","-4.548857466"
"605","2011","X000029","-4.650323462"
"606","2012","X000029","-4.364554986"
"607","2013","X000029","-4.26603063"
"608","2014","X000029","-3.711120358"
"609","2015","X000029","-3.492043419"
"610","1995","X000030",NA
"611","1996","X000030",NA
"612","1997","X000030",NA
"613","1998","X000030",NA
"614","1999","X000030",NA
"615","2000","X000030","-1.961099794"
"616","2001","X000030","-1.957054742"
"617","2002","X000030","-0.5133316"
"618","2003","X000030","-0.371192054"
"619","2004","X000030","-0.318853367"
"620","2005","X000030","-0.376870681"
"621","2006","X000030","-0.334071161"
"622","2007","X000030","-0.097047652"
"623","2008","X000030","-0.188553057"
"624","2009","X000030","-0.009411123"
"625","2010","X000030","-0.059926232"
"626","2011","X000030","-0.124272837"
"627","2012","X000030","-0.406926861"
"628","2013","X000030","-0.335788505"
"629","2014","X000030","-1.087112694"
"630","2015","X000030","-1.881400181"
"631","1995","X000031",NA
"632","1996","X000031",NA
"633","1997","X000031",NA
"634","1998","X000031",NA
"635","1999","X000031",NA
"636","2000","X000031","-2.752232228"
"637","2001","X000031","-2.88335697"
"638","2002","X000031","-2.987391511"
"639","2003","X000031","-2.887691555"
"640","2004","X000031","-2.823168974"
"641","2005","X000031","-4.06826383"
"642","2006","X000031","-5.512353015"
"643","2007","X000031","-4.81714351"
"644","2008","X000031","-3.706844109"
"645","2009","X000031","-3.330191057"
"646","2010","X000031","-3.221211769"
"647","2011","X000031","-3.175508704"
"648","2012","X000031","-3.198084926"
"649","2013","X000031","-5.200074141"
"650","2014","X000031","-5.97581759"
"651","2015","X000031","-5.930213214"
"652","1995","X000032",NA
"653","1996","X000032",NA
"654","1997","X000032",NA
"655","1998","X000032",NA
"656","1999","X000032",NA
"657","2000","X000032","-3.932158068"
"658","2001","X000032","-3.787482804"
"659","2002","X000032","-3.747775022"
"660","2003","X000032","-4.439469943"
"661","2004","X000032","-4.732180343"
"662","2005","X000032","-4.401283456"
"663","2006","X000032","-4.362578387"
"664","2007","X000032","-4.295798512"
"665","2008","X000032","-4.073067127"
"666","2009","X000032","-3.903559171"
"667","2010","X000032","-4.166387578"
"668","2011","X000032","-4.393660077"
"669","2012","X000032","-4.182919238"
"670","2013","X000032","-2.963202114"
"671","2014","X000032","-2.844493516"
"672","2015","X000032","-2.820534034"
"673","1995","X000033",NA
"674","1996","X000033",NA
"675","1997","X000033",NA
"676","1998","X000033",NA
"677","1999","X000033",NA
"678","2000","X000033","-3.754466983"
"679","2001","X000033","-4.158032761"
"680","2002","X000033","-4.275079411"
"681","2003","X000033","-4.479337001"
"682","2004","X000033","-4.478350354"
"683","2005","X000033","-4.498170609"
"684","2006","X000033","-5.303789917"
"685","2007","X000033","-2.811585203"
"686","2008","X000033","-2.85352899"
"687","2009","X000033","-2.889873241"
"688","2010","X000033","-2.949815923"
"689","2011","X000033","-3.080526616"
"690","2012","X000033","-3.812918334"
"691","2013","X000033","-3.726952189"
"692","2014","X000033","-3.561692815"
"693","2015","X000033","-2.485133588"
"694","1995","X000034",NA
"695","1996","X000034",NA
"696","1997","X000034",NA
"697","1998","X000034",NA
"698","1999","X000034",NA
"699","2000","X000034","-1.515121329"
"700","2001","X000034","-1.297143662"
"701","2002","X000034","-1.301731296"
"702","2003","X000034","-1.301549811"
"703","2004","X000034","-2.072789955"
"704","2005","X000034","-1.4710833"
"705","2006","X000034","-1.72275871"
"706","2007","X000034","-1.873316383"
"707","2008","X000034","-1.336019726"
"708","2009","X000034","-0.863249621"
"709","2010","X000034","-0.261524764"
"710","2011","X000034","-0.236098046"
"711","2012","X000034","-0.225421976"
"712","2013","X000034","-0.293642316"
"713","2014","X000034","-0.998295948"
"714","2015","X000034","-2.910032095"
"715","1995","X000035",NA
"716","1996","X000035",NA
"717","1997","X000035",NA
"718","1998","X000035",NA
"719","1999","X000035",NA
"720","2000","X000035","-2.41101916"
"721","2001","X000035","-2.384059614"
"722","2002","X000035","-3.593574408"
"723","2003","X000035","-3.660487656"
"724","2004","X000035","-3.618102462"
"725","2005","X000035","0.200286408"
"726","2006","X000035","0.172557194"
"727","2007","X000035","0.177056162"
"728","2008","X000035","0.185741511"
"729","2009","X000035","0.183531368"
"730","2010","X000035","-1.696791041"
"731","2011","X000035","-2.568975191"
"732","2012","X000035","-2.614327965"
"733","2013","X000035","-2.421972088"
"734","2014","X000035","2.52437275"
"735","2015","X000035","2.52542692"
"736","1995","X000036",NA
"737","1996","X000036",NA
"738","1997","X000036",NA
"739","1998","X000036",NA
"740","1999","X000036",NA
"741","2000","X000036","-2.39900814"
"742","2001","X000036","-2.333765786"
"743","2002","X000036","-2.278662226"
"744","2003","X000036","-4.401757261"
"745","2004","X000036","-3.538307799"
"746","2005","X000036","-3.307364324"
"747","2006","X000036","-3.192592229"
"748","2007","X000036","-3.428351011"
"749","2008","X000036","-3.035845458"
