"","latitude","longitude","country","area","colour"
"10958",53.48487,-2.10229,"United Kingdom","Ashton-under-Lyne","brushed metal"
"10960",53.51047,-2.37682,"United Kingdom","Roe Green","blue"
"10980",53.46789,-2.25252,"United Kingdom","Manchester","bronze"
"10984",51.42188,-0.07866,"United Kingdom","London","blue"
"11017",52.5114,-1.9999,"United Kingdom","West Bromwich","blue"
"11023",51.07318,1.14153,"United Kingdom","Sandgate","blue"
"11024",51.49926,-0.20584,"United Kingdom","London","blue"
"11025",53.478,-2.08646,"United Kingdom","Dukinfield","bronze"
"11030",51.49566,-0.19439,"United Kingdom","London","blue"
"11033",55.85794,-4.25504,"United Kingdom","Glasgow","bronze"
"11035",51.52218,-0.15982,"United Kingdom","London","blue"
"11037",51.26372,1.14404,"United Kingdom","Bekesbourne","film cell"
"11045",51.57778,-2.9854,"United Kingdom","Newport, Gwent",""
"11074",51.07335,1.13992,"United Kingdom","Sandgate","blue"
"11099",-21.1483,-175.2532,"Tonga","Tongatapu","bronze"
"11104",52.52317,-1.84031,"United Kingdom","Birmingham","blue"
"11108",49.18245,-2.10211,"Jersey","St. Helier","film cell"
"11112",53.54871,-2.52082,"United Kingdom","Westhoughton","film cell"
"11157",51.51083,-0.12822,"United Kingdom","London","blue"
"11167",51.50342,-0.16584,"United Kingdom","London","multicoloured"
"11182",53.33422,-2.79784,"United Kingdom","Liverpool","black"
"11200",51.55179,-0.1226,"United Kingdom","London","blue"
"11206",52.91313,-0.6389,"United Kingdom","Grantham","blue"
"11249",51.81616,-0.81362,"United Kingdom","Aylesbury","blue"
"11330",52.84049,-1.5512,"United Kingdom","Repton","film cell"
"11358",52.96967,-1.5045,"United Kingdom","Derby","blue"
"11360",53.48384,-2.25902,"United Kingdom","Salford","red"
"11361",53.50055,-2.38071,"United Kingdom","Worsley","brushed metal"
"11412",50.78767,-1.12392,"United Kingdom","Gosport","blue"
"11453",52.40936,-1.51608,"United Kingdom","Coventry","green"
"11455",52.40822,-1.51869,"United Kingdom","Coventry","blue"
"11473",52.80429,-2.11811,"United Kingdom","Stafford","blue"
"11487",51.50795,-0.09462,"United Kingdom","London","black"
"11488",50.846,4.35186,"Belgium","Brussels","black"
"11489",50.10225,-5.27173,"United Kingdom","Helston","blue"
"11492",48.85834,2.40507,"France","Paris","marble"
"11493",51.61678,0.02581,"United Kingdom","London","brushed metal"
"11532",52.94124,-4.35419,"United Kingdom","Llangybi","film cell"
"11563",52.48097,-1.90001,"United Kingdom","Birmingham","blue"
"11641",50.61288,-2.45476,"United Kingdom","Weymouth","blue"
"11670",54.2775,-0.40917,"United Kingdom","Scarborough","blue"
"11671",54.28087,-0.39875,"United Kingdom","Scarborough","blue"
"11672",51.49177,-3.23142,"United Kingdom","Cardiff","blue"
"11678",51.4906,-3.15452,"United Kingdom","Cardiff","blue"
"12491",40.04,-76.31,"United States","Lancaster, PA","blue"
"13293",50.83169,-0.23619,"United Kingdom","Shoreham-by-sea","bronze"
"13316",52.3951,-1.98787,"United Kingdom","Birmingham","blue"
"13325",51.48361,0.22996,"United Kingdom","Purfleet","green"
"13330",50.82479,-0.17096,"United Kingdom","Hove","blue"
"13337",53.40327,-2.99557,"United Kingdom","Liverpool","red and black"
"13345",53.40143,-2.99469,"United Kingdom","Liverpool","bronze"
"13352",55.86361,-4.31246,"United Kingdom","Glasgow","red"
"13371",53.39936,-2.9919,"United Kingdom","Liverpool","brass"
"13376",53.40758,-2.97869,"United Kingdom","Liverpool","bronze"
