"","LN","Code","Values"
"671","2014","X000032","-2.446397961"
"672","2015","X000032","-3.468491628"
"673","1995","X000033",""
"674","1996","X000033",""
"675","1997","X000033",""
"676","1998","X000033",""
"677","1999","X000033",""
"678","2000","X000033","#N/A"
"679","2001","X000033","#N/A"
"680","2002","X000033","#N/A"
"681","2003","X000033","-4.186301765"
"682","2004","X000033","-4.137345154"
"683","2005","X000033","-4.362151803"
"684","2006","X000033","-4.323376932"
"685","2007","X000033","-4.213075997"
"686","2008","X000033","-4.161354627"
"687","2009","X000033","-4.184305699"
"688","2010","X000033","-3.711377056"
"689","2011","X000033","-3.604289864"
"690","2012","X000033","-3.570218043"
"691","2013","X000033","-3.541048146"
"692","2014","X000033","-3.357608114"
"693","2015","X000033","-3.432957484"
"694","1995","X000034",""
"695","1996","X000034",""
"696","1997","X000034",""
"697","1998","X000034",""
"698","1999","X000034",""
"699","2000","X000034","#N/A"
"700","2001","X000034","#N/A"
"701","2002","X000034","#N/A"
"702","2003","X000034","-2.554402815"
"703","2004","X000034","-2.379060188"
"704","2005","X000034","-2.477723665"
"705","2006","X000034","-2.979217908"
"706","2007","X000034","-3.159882521"
"707","2008","X000034","-3.041849695"
"708","2009","X000034","-3.561041763"
"709","2010","X000034","-3.443809124"
"710","2011","X000034","-1.968597398"
"711","2012","X000034","-2.011232715"
"712","2013","X000034","-1.906038501"
"713","2014","X000034","-1.910528782"
"714","2015","X000034","-1.841232159"
"715","1995","X000035",""
"716","1996","X000035",""
"717","1997","X000035",""
"718","1998","X000035",""
"719","1999","X000035",""
"720","2000","X000035","#N/A"
"721","2001","X000035","#N/A"
"722","2002","X000035","#N/A"
"723","2003","X000035","-1.468793986"
"724","2004","X000035","-1.468953389"
"725","2005","X000035","-0.974168174"
"726","2006","X000035","-1.220618678"
"727","2007","X000035","-1.215652751"
"728","2008","X000035","-1.289406753"
"729","2009","X000035","-1.316344269"
"730","2010","X000035","-7.521128581"
"731","2011","X000035","-7.45608875"
"732","2012","X000035","-7.490618252"
"733","2013","X000035","-0.55325499"
"734","2014","X000035","5.672161462"
"735","2015","X000035","5.672171254"
"736","1995","X000036",""
"737","1996","X000036",""
"738","1997","X000036",""
"739","1998","X000036",""
"740","1999","X000036",""
"741","2000","X000036","#N/A"
"742","2001","X000036","#N/A"
"743","2002","X000036","#N/A"
"744","2003","X000036","-2.793228749"
"745","2004","X000036","-2.754780788"
"746","2005","X000036","-2.234974494"
"747","2006","X000036","-2.283789855"
"748","2007","X000036","-2.386493126"
"749","2008","X000036","-2.463025371"
"750","2009","X000036","-2.416961066"
"751","2010","X000036","-1.43697681"
"752","2011","X000036","-1.436649948"
"753","2012","X000036","-1.232140721"
"754","2013","X000036","-1.186071138"
"755","2014","X000036","-1.128614873"
"756","2015","X000036","-1.179857232"
"757","1995","X000037",""
"758","1996","X000037",""
"759","1997","X000037",""
"760","1998","X000037",""
"761","1999","X000037",""
"762","2000","X000037","#N/A"
"763","2001","X000037","#N/A"
"764","2002","X000037","#N/A"
"765","2003","X000037","-1.669863463"
"766","2004","X000037","-1.908947737"
"767","2005","X000037","-1.834010398"
"768","2006","X000037","-1.799449002"
"769","2007","X000037","-1.566219549"
"770","2008","X000037","-2.388706558"
"771","2009","X000037","-2.543406363"
"772","2010","X000037","-2.727082208"
"773","2011","X000037","-3.044362051"
"774","2012","X000037","-3.540305397"
"775","2013","X000037","-3.450118878"
"776","2014","X000037","-3.259359333"
"777","2015","X000037","-2.970913413"
"778","1995","X000038",""
"779","1996","X000038",""
"780","1997","X000038",""
"781","1998","X000038",""
"782","1999","X000038",""
"783","2000","X000038","#N/A"
"784","2001","X000038","#N/A"
"785","2002","X000038","#N/A"
"786","2003","X000038","-1.238573342"
"787","2004","X000038","-0.971702641"
"788","2005","X000038","-0.969086645"
"789","2006","X000038","-0.965482002"
"790","2007","X000038","-0.960156475"
"791","2008","X000038","-1.804825378"
"792","2009","X000038","-3.193686272"
"793","2010","X000038","-3.074033786"
"794","2011","X000038","-2.430867186"
"795","2012","X000038","-2.211442413"
"796","2013","X000038","-2.109177523"
"797","2014","X000038","-2.129351134"
"798","2015","X000038","-2.16953093"
"799","1995","X000039",""
"800","1996","X000039",""
"801","1997","X000039",""
"802","1998","X000039",""
"803","1999","X000039",""
"804","2000","X000039","#N/A"
"805","2001","X000039","#N/A"
"806","2002","X000039","#N/A"
"807","2003","X000039","-2.090675191"
"808","2004","X000039","-2.090675862"
"809","2005","X000039","-2.103890049"
"810","2006","X000039","-1.794919467"
"811","2007","X000039","-1.8769096"
"812","2008","X000039","-1.896764414"
"813","2009","X000039","-1.901248283"
"814","2010","X000039","-1.865045743"
"815","2011","X000039","-2.998505711"
"816","2012","X000039","-3.028668223"
"817","2013","X000039","-3.421399824"
"818","2014","X000039","-5.236864614"
"819","2015","X000039","-4.01482139"
"820","1995","X000040",""
"821","1996","X000040",""
"822","1997","X000040",""
"823","1998","X000040",""
"824","1999","X000040",""
"825","2000","X000040","#N/A"
"826","2001","X000040","#N/A"
"827","2002","X000040","#N/A"
"828","2003","X000040","-2.686316808"
"829","2004","X000040","-2.60443612"
"830","2005","X000040","-2.117824982"
"831","2006","X000040","-2.030548903"
"832","2007","X000040","-2.015599475"
"833","2008","X000040","-2.206138176"
"834","2009","X000040","-2.099814141"
"835","2010","X000040","-2.378324488"
"836","2011","X000040","-1.78154523"
"837","2012","X000040","-1.468248617"
"838","2013","X000040","-1.438899584"
"839","2014","X000040","-1.42978912"
"840","2015","X000040","-1.46038394"
"841","1995","X000042",""
"842","1996","X000042",""
"843","1997","X000042",""
"844","1998","X000042",""
"845","1999","X000042",""
"846","2000","X000042","#N/A"
"847","2001","X000042","#N/A"
"848","2002","X000042","#N/A"
"849","2003","X000042","-3.238524315"
"850","2004","X000042","-3.488542492"
"851","2005","X000042","-2.390331584"
"852","2006","X000042","-2.320573024"
"853","2007","X000042","-2.148445433"
"854","2008","X000042","-2.0784851"
