"","CLASS_NAME","Band1","Band2","Band3","Band4"
"202","Agriculture",0.0543999001383781,0.0678946599364281,0.0648976936936378,0.215585470199585
"203","Agriculture",0.044995091855526,0.0575996115803719,0.0449994690716267,0.241988778114319
"204","Agriculture",0.0570944771170616,0.0717957839369774,0.091785617172718,0.215585470199585
"205","Agriculture",0.0342929437756538,0.0391985327005386,0.031797531992197,0.213089913129807
"206","Agriculture",0.0687995851039886,0.0881943702697754,0.119586169719696,0.250395655632019
"207","Agriculture",0.0608937479555607,0.0716989934444427,0.0954890996217728,0.138181567192078
"208","Agriculture",0.0642985478043556,0.0799950733780861,0.109684705734253,0.205779999494553
"209","Agriculture",0.0578915737569332,0.0709971785545349,0.0915941447019577,0.166199624538422
"210","Agriculture",0.0358999967575073,0.0436999946832657,0.032600000500679,0.246299996972084
"211","Agriculture",0.0523985214531422,0.0634997859597206,0.0734866484999657,0.164381712675095
"212","Agriculture",0.0405999943614006,0.0500999987125397,0.0380000025033951,0.277700006961823
"213","Agriculture",0.0346999987959862,0.0458999946713448,0.0301000010222197,0.294699996709824
"214","Agriculture",0.0537977702915668,0.0617960393428802,0.0744950175285339,0.144375145435333
"215","Agriculture",0.0363948792219162,0.043494924902916,0.0326939933001995,0.230991318821907
"216","Agriculture",0.0642985478043556,0.0819940567016602,0.119994536042213,0.212990686297417
"217","Agriculture",0.0481921583414078,0.0574979744851589,0.054987832903862,0.179579839110374
"218","Agriculture",0.0425994694232941,0.0541921593248844,0.0405834428966045,0.271189868450165
"219","Agriculture",0.0592952035367489,0.0680931285023689,0.0880912765860558,0.151675775647163
"220","Agriculture",0.0343999937176704,0.0423999950289726,0.0314000025391579,0.23139999806881
"221","Agriculture",0.0718927606940269,0.0863985270261765,0.119586169719696,0.189882054924965
"222","Agriculture",0.0334999933838844,0.0407999977469444,0.0320999994874001,0.23259998857975
"223","Agriculture",0.0462990291416645,0.0619945228099823,0.0481984727084637,0.246274903416634
"224","Agriculture",0.0590958259999752,0.0755905583500862,0.105790220201015,0.18007592856884
"225","Agriculture",0.0424998290836811,0.055397342890501,0.0527885258197784,0.238377243280411
"226","Agriculture",0.061495803296566,0.0762971118092537,0.0978881493210793,0.166976973414421
"227","Agriculture",0.0648964419960976,0.0800966396927834,0.112483948469162,0.212990686297417
"228","Agriculture",0.0542916543781757,0.0680931285023689,0.0769899636507034,0.185176372528076
"229","Agriculture",0.0430976562201977,0.0512929037213326,0.0438954345881939,0.201786354184151
"230","Agriculture",0.0473993420600891,0.0583982467651367,0.0576913356781006,0.2188920378685
"231","Agriculture",0.0424998290836811,0.0561959631741047,0.0427913926541805,0.237689614295959
"232","Agriculture",0.0379988811910152,0.0552982613444328,0.0467981323599815,0.270195722579956
"233","Agriculture",0.0539970435202122,0.0685916766524315,0.0801975652575493,0.184680327773094
"234","Agriculture",0.046294704079628,0.0592937096953392,0.054987832903862,0.246376752853394
"235","Agriculture",0.0458999946713448,0.0645999982953072,0.0534999966621399,0.269400000572205
"236","Agriculture",0.0451986864209175,0.0574979744851589,0.0420873239636421,0.288995653390884
"237","Agriculture",0.0398962683975697,0.051394559442997,0.0390882082283497,0.25957840681076
"238","Agriculture",0.0590958259999752,0.0709971785545349,0.0926982834935188,0.141679242253304
"239","Agriculture",0.0489978678524494,0.0547971650958061,0.0546836815774441,0.182276085019112
"240","Agriculture",0.0473999977111816,0.0589999929070473,0.060199998319149,0.211299985647202
"241","Agriculture",0.0620978996157646,0.072599284350872,0.0872999206185341,0.149882763624191
"242","Agriculture",0.0536938197910786,0.0653971284627914,0.0779983326792717,0.177583768963814
"243","Agriculture",0.0448954552412033,0.0564960464835167,0.0552834458649158,0.210778281092644
"244","Agriculture",0.0613961517810822,0.0745934769511223,0.092585563659668,0.125183686614037
